2019S,"BIA 600JP",W,0515PM,0800PM,JP,OFF,CLOSED,LEC
2019S,"CH  700A",W,0200PM,0250PM,,X,119,SEM
2019S,"CH  701A",TBA,,,,OFF,TBA,PRA
2019S,"CH  780A",R,0630PM,0900PM,,,,LEC
2019S,"CH  800A",TBA,,,,N/A,N/A,LEC
2019S,"CH  801A",TBA,,,,N/A,N/A,LEC
2019S,"CH  960B",TBA,,,,N/A,N/A,LEC
2019S,"CH  960C",TBA,,,,N/A,N/A,LEC
2019S,"CHE 210A",T,1230PM,0145PM,,E,330,LEC
2019S,"CHE 210A",R,1100AM,1215PM,,E,330,LEC
2019S,"CHE 234A",MW,1100AM,1150AM,,BC,320,LEC
2019S,"CHE 234A",F,1000AM,1050AM,,BC,320,LEC
2019S,"CHE 234RA",F,1100AM,1150AM,,C,315,RCT
2019S,"CHE 322A",TR,0930AM,1045AM,,BC,104,LAB
2019S,"CHE 345A",TR,0500PM,0615PM,,P,120,LEC
2019S,"CHE 351A",MF,0300PM,0350PM,,E,222,LEC
2019S,"CHE 351A",W,1100AM,1150AM,,E,222,LEC
2019S,"CHE 424A",TR,0225PM,0415PM,,X,004,L/L
2019S,"CHE 424X3",TR,0230PM,0420PM,,N/A,N/A,L/L
2019S,"CHE 432A",M,1100AM,1150AM,,X,004,LEC
2019S,"CHE 432LA",M,1200PM,0350PM,,X,004,LAB
2019S,"CHE 432LB",F,1200PM,0350PM,,X,004,LAB
2019S,"CHE 499A",TBA,,,,N/A,N/A,LEC
2019S,"CHE 530W1",TBA,,,,N/A,N/A,LEC
2019S,"CHE 530WS",TBA,,,WS,OFF,WEB,LEC
2019S,"CHE 531WS",TBA,,,WS,OFF,WEB,LEC
2019S,"CHE 535A",R,0330PM,0600PM,,,,LEC
2019S,"CHE 540WS",TBA,,,WS,OFF,WEB,LEC
